ProductName,Category,HealthyIndex,Price,Subcategory
Lapte Mega,Lactate,10,5.19,Lapte
Telemea Mega,Lactate,9,9.3,Branzeturi
Ciocolata Milka,Dulciuri,3,6.09,Dulciuri Diverse
Magura,Dulciuri,4,1.79,Dulciuri Diverse
Paine Graham,Panificatie,9,7.99,Paine si Produse de Panificatie
Boromir Covrigi,Snacks,6,7.89,Rontaieli
Pizza Salam,Congelate,5,17.99,Produse Congelate
Banane Premium,Fructe si Legume,10,8.99,Fructe si Legume Proaspete
Ulei UntDeLemn,IngredienteCulinare,5,7.09,Baza Gatit
Cocorico pui,Congelate,2,31.99,Produse Congelate
Lapte Napolact,Lactate,10,9.45,Lapte
Lapte Olympus,Lactate,10,7.9,Lapte
Mozarella Mega,Lactate,10,5.49,Branzeturi
Muschi File,Mezeluri,7,5.49,Carne Procesata
Salam Sibiu Mega,Mezeluri,7,12.49,Carne Procesata
Muschi Tiganesc Mega,Mezeluri,7,7.99,Carne Procesata
Faina 365,IngredienteCulinare,8,3.79,Baza Gatit
Sos de rosii Gusturi,IngredienteCulinare,9,7.49,Baza Gatit
Cartofi Albi Gusturi,Fructe si Legume,9,2.99,Fructe si Legume Proaspete
Rosii Cherry,Fructe si Legume,10,9.99,Fructe si Legume Proaspete
Apa AQUA,ApaSiSucuri,10,3.39,Bauturi Nonalcoolice
AB Suc Portocale,ApaSiSucuri,7,7.99,Bauturi Nonalcoolice
Bere Peroni,Bauturi,1,7.5,Bauturi Alcoolice
Vin Jidvei,Bauturi,1,19.9,Bauturi Alcoolice
Pufuleti Gusturi,Snacks,5,1.89,Rontaieli
Cipsuri Pringles,Snacks,3,12.69,Rontaieli
Edenia Snitel de Pui,SemiPreparate,7,21.79,Mancare Semi-Preparata
Frosta Pui Mexican,SemiPreparate,6,16.99,Mancare Semi-Preparata
Beyond Vegetal,SemiPreparate,8,21.99,Mancare Semi-Preparata
Cartofi Prajiti,Congelate,3,13.69,Produse Congelate
Paine Alba,Panificatie,6,6.99,Paine si Produse de Panificatie
Servetele Umede,Igiena,10,14.99,Produse de Igiena
Scutece,Igiena,10,67,Produse de Igiena
Absorbante,Igiena,10,15.99,Produse de Igiena
Orez Bob Lung,IngredienteCulinare,8,4.99,Baza Gatit
Supa La Plic,SemiPreparate,6,9.99,Mancare Semi-Preparata
Cereale Fitness,Dulciuri,7,11.99,Dulciuri Diverse
Iaurt Zuzu,Lactate,9,3.49,Iaurt
Smantana Lichida,Lactate,9,4.99,Lapte
Mere Golden,Fructe si Legume,10,5.99,Fructe si Legume Proaspete
Portocale Valencia,Fructe si Legume,10,4.99,Fructe si Legume Proaspete
Pepsi Zero,ApaSiSucuri,4,6.99,Bauturi Nonalcoolice
Red Bull,Bauturi,2,8.99,Bauturi Alcoolice
Cheddar Cheese,Lactate,10,12.99,Branzeturi
Grisine cu Susan,Panificatie,6,4.99,Paine si Produse de Panificatie
Baghete Cu Usturoi,Panificatie,8,6.49,Paine si Produse de Panificatie
Mix Legume Congelate,Congelate,7,10.99,Produse Congelate
Peste File Congelat,Congelate,6,22.99,Produse Congelate
Prajituri Boromir,Dulciuri,5,12.99,Dulciuri Diverse
